RHS120x60x8,dxf,120,60,8.0,12.0,8.0,20.1,0.339,2555,1704,852,4.247,40.8,70.79,92.70,1.351,23.0,45.05,55.40,3443,76.64,600.50,231.13,115.57,16.64,21.78,10.59,13.02,10.40,a,1,1,1
RHS120x60x10,dxf,120,60,10.0,15.0,10.0,24.3,0.334,3093,2062,1031,4.881,39.7,81.36,109.2,1.515,22.1,50.51,64.38,3957,86.13,726.78,279.74,139.87,19.12,25.65,11.87,15.13,11.69,a,1,1,1
RHS120x80x4,dxf,120,80,4.0,6.0,4.0,11.9,0.390,1519,911,608,3.026,44.6,50.43,61.15,1.607,32.5,40.18,46.14,3304,64.98,356.93,123.64,82.43,11.85,14.37,9.44,10.84,8.82,a,1,1,1
RHS120x80x5,dxf,120,80,5.0,7.5,5.0,14.7,0.387,1873,1124,749,3.654,44.2,60.90,74.59,1.929,32.1,48.24,56.13,4013,77.88,440.20,152.49,101.66,14.31,17.53,11.34,13.19,10.57,a,1,1,1
RHS120x80x6.3,dxf,120,80,6.3,9.4,6.3,18.2,0.384,2319,1391,927,4.398,43.6,73.30,90.98,2.305,31.5,57.62,68.22,4866,92.87,544.88,188.75,125.84,17.23,21.38,13.54,16.03,12.60,a,1,1,1
RHS120x80x8,dxf,120,80,8.0,12.0,8.0,22.6,0.379,2875,1725,1150,5.253,42.7,87.54,110.6,2.726,30.8,68.14,82.55,5866,109.7,675.70,234.07,156.05,20.57,26.00,16.01,19.40,14.88,a,1,1,1
RHS120x80x10,dxf,120,80,10.0,15.0,10.0,27.4,0.374,3493,2096,1397,6.095,41.8,101.6,131.2,3.126,29.9,78.14,97.30,6876,125.7,820.78,284.33,189.55,23.87,30.82,18.36,22.87,17.06,a,1,1,1
RHS140x80x4,dxf,140,80,4.0,6.0,4.0,13.2,0.430,1679,1068,610,4.406,51.2,62.94,77.14,1.838,33.1,45.96,52.22,4107,76.53,394.53,144.95,82.83,14.79,18.13,10.80,12.27,10.38,a,1,1,1
RHS140x80x5,dxf,140,80,5.0,7.5,5.0,16.3,0.427,2073,1319,754,5.340,50.8,76.28,94.32,2.211,32.7,55.28,63.63,4994,91.94,487.20,179.00,102.28,17.93,22.17,12.99,14.95,12.47,a,1,1,1
RHS140x80x6.3,dxf,140,80,6.3,9.4,6.3,20.2,0.424,2571,1636,935,6.458,50.1,92.26,115.4,2.648,32.1,66.20,77.51,6065,110.0,604.10,221.95,126.83,21.68,27.13,15.56,18.21,14.92,a,1,1,1
RHS140x80x8,dxf,140,80,8.0,12.0,8.0,25.1,0.419,3195,2033,1162,7.763,49.3,110.9,141.0,3.142,31.4,78.55,94.07,7329,130.4,750.90,275.88,157.65,26.06,33.13,18.46,22.11,17.70,a,1,1,1
RHS140x80x10,dxf,140,80,10.0,15.0,10.0,30.6,0.414,3893,2477,1416,9.081,48.3,129.7,168.1,3.619,30.5,90.47,111.3,8621,150.3,914.78,336.10,192.05,30.48,39.50,21.26,26.16,20.39,a,1,1,1
RHS150x100x4,dxf,150,100,4.0,6.0,4.0,15.1,0.490,1919,1151,768,6.073,56.3,80.97,97.41,3.240,41.1,64.81,73.64,6601,105.0,450.93,156.21,104.14,19.03,22.89,15.23,17.31,14.25,a,1,2,2
RHS150x100x5,dxf,150,100,5.0,7.5,5.0,18.6,0.487,2373,1424,949,7.387,55.8,98.50,119.4,3.923,40.7,78.47,90.11,8067,126.9,557.70,193.19,128.79,23.15,28.07,18.44,21.18,17.22,a,1,1,1
RHS150x100x6.3,dxf,150,100,6.3,9.4,6.3,23.1,0.484,2949,1769,1179,8.979,55.2,119.7,146.7,4.741,40.1,94.81,110.4,9865,153.1,692.93,240.04,160.03,28.14,34.48,22.28,25.94,20.77,a,1,1,1
RHS150x100x8,dxf,150,100,8.0,12.0,8.0,28.9,0.479,3675,2205,1470,10.87,54.4,144.9,180.1,5.693,39.4,113.9,135.0,12030,183.5,863.70,299.20,199.46,34.06,42.32,26.76,31.72,24.90,a,1,1,1
RHS150x100x10,dxf,150,100,10.0,15.0,10.0,35.3,0.474,4493,2696,1797,12.82,53.4,171.0,216.0,6.654,38.5,133.1,161.2,14320,214.2,1055.78,365.73,243.82,40.18,50.77,31.27,37.89,29.06,a,1,1,1
RHS150x100x12.5,dxf,150,100,12.5,18.8,12.5,42.8,0.468,5457,3274,2183,14.88,52.2,198.4,256.2,7.631,37.4,152.6,190.0,16790,245.5,1282.48,444.26,296.18,46.62,60.20,35.86,44.66,33.31,a,1,1,1
RHS160x80x4,dxf,160,80,4.0,6.0,4.0,14.4,0.470,1839,1226,613,6.122,57.7,76.53,94.73,2.070,33.5,51.74,58.30,4930,88.08,432.13,166.33,83.16,17.98,22.26,12.16,13.70,11.95,a,1,2,2
